0, 0, Header, 1, 3, 120
1, 0, Start_track
1, 0, Title_t, "Strollin'"
1, 0, Text_t, "By Horace Silver\012"
1, 0, Text_t, "Lead sheet is in 'New Real Book' Volume 2 (Sher Music) p 353. Several good solo piano versions are Tommy Flanagan's (on his CD 'Alone too Long')  and Alan Broadbent on his Maybeck Hall CD.\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 428571
1, 0, Marker_t, "Run on Ab13b9#11"
1, 305, Marker_t, "LH plays Black notes (Gb&Ab): RH plays white (A,C,D,E)"
1, 1924, Marker_t, "In tempo"
1, 2009, Marker_t, "Drop 2 Locked hands style"
1, 2404, Marker_t, "On non chord tones play a diminished chord"
1, 10920, Marker_t, "Db Major Scale over Ebm7"
1, 18753, Marker_t, "This figure based on successive triplets with pairs of notes from the Db Major scale approached from beneath by a chromatic leading tone."
1, 27840, Marker_t, "On Abm7, descending Gb Major scale, with some black notes played with another black note a fourth above"
1, 28507, Marker_t, "On C7 a diminished scale"
1, 48480, Marker_t, "C/Db Bass"
1, 48480, End_track
2, 0, Start_track
2, 0, Title_t, ""
2, 0, Control_c, 0, 64, 127
2, 94, Note_on_c, 0, 44, 91
2, 94, Note_on_c, 0, 32, 81
2, 110, Control_c, 0, 64, 0
2, 152, Control_c, 0, 64, 127
2, 190, Note_on_c, 0, 32, 0
2, 193, Note_on_c, 0, 44, 0
2, 316, Note_on_c, 0, 54, 52
2, 340, Note_on_c, 0, 56, 50
2, 353, Note_on_c, 0, 54, 0
2, 360, Note_on_c, 0, 56, 0
2, 367, Note_on_c, 0, 57, 56
2, 391, Note_on_c, 0, 60, 66
2, 397, Note_on_c, 0, 57, 0
2, 407, Note_on_c, 0, 62, 65
2, 424, Note_on_c, 0, 60, 0
2, 426, Note_on_c, 0, 65, 54
2, 436, Note_on_c, 0, 62, 0
2, 436, Note_on_c, 0, 66, 52
2, 439, Note_on_c, 0, 65, 0
2, 455, Note_on_c, 0, 68, 34
2, 478, Note_on_c, 0, 69, 61
2, 479, Note_on_c, 0, 66, 0
2, 481, Note_on_c, 0, 68, 0
2, 497, Note_on_c, 0, 72, 51
2, 504, Note_on_c, 0, 69, 0
2, 508, Note_on_c, 0, 74, 61
2, 530, Note_on_c, 0, 72, 0
2, 530, Note_on_c, 0, 77, 51
2, 538, Note_on_c, 0, 74, 0
2, 542, Note_on_c, 0, 77, 0
2, 544, Note_on_c, 0, 78, 51
2, 561, Note_on_c, 0, 80, 32
2, 579, Note_on_c, 0, 78, 0
2, 585, Note_on_c, 0, 80, 0
2, 587, Note_on_c, 0, 81, 44
2, 598, Note_on_c, 0, 84, 68
2, 610, Note_on_c, 0, 86, 71
2, 611, Note_on_c, 0, 81, 0
2, 631, Note_on_c, 0, 89, 66
2, 634, Note_on_c, 0, 84, 0
2, 641, Note_on_c, 0, 86, 0
2, 644, Note_on_c, 0, 90, 58
2, 646, Note_on_c, 0, 89, 0
2, 661, Note_on_c, 0, 92, 56
2, 675, Note_on_c, 0, 90, 0
2, 682, Note_on_c, 0, 93, 48
2, 683, Note_on_c, 0, 92, 0
2, 699, Note_on_c, 0, 96, 53
2, 720, Note_on_c, 0, 98, 71
2, 735, Note_on_c, 0, 101, 65
2, 753, Note_on_c, 0, 104, 95
2, 786, Note_on_c, 0, 96, 0
2, 793, Note_on_c, 0, 98, 0
2, 795, Note_on_c, 0, 93, 0
2, 795, Note_on_c, 0, 101, 0
2, 834, Note_on_c, 0, 104, 0
2, 1207, Note_on_c, 0, 65, 57
2, 1207, Note_on_c, 0, 39, 37
2, 1212, Note_on_c, 0, 51, 21
2, 1212, Note_on_c, 0, 61, 38
2, 1213, Control_c, 0, 64, 0
2, 1213, Note_on_c, 0, 54, 36
2, 1214, Note_on_c, 0, 58, 37
2, 1237, Control_c, 0, 64, 127
2, 1246, Note_on_c, 0, 51, 0
2, 1265, Note_on_c, 0, 39, 0
2, 1302, Note_on_c, 0, 61, 0
2, 1309, Note_on_c, 0, 54, 0
2, 1322, Note_on_c, 0, 58, 0
2, 1332, Note_on_c, 0, 65, 0
2, 1429, Control_c, 0, 64, 0
2, 1430, Note_on_c, 0, 65, 40
2, 1432, Note_on_c, 0, 54, 29
2, 1433, Note_on_c, 0, 38, 34
2, 1435, Note_on_c, 0, 26, 38
2, 1436, Note_on_c, 0, 57, 38
2, 1441, Note_on_c, 0, 60, 38
2, 1475, Control_c, 0, 64, 127
2, 1530, Note_on_c, 0, 38, 0
2, 1531, Note_on_c, 0, 57, 0
2, 1531, Note_on_c, 0, 65, 0
2, 1532, Note_on_c, 0, 26, 0
2, 1534, Note_on_c, 0, 60, 0
2, 1546, Note_on_c, 0, 54, 0
2, 1685, Note_on_c, 0, 63, 29
2, 1686, Control_c, 0, 64, 0
2, 1687, Note_on_c, 0, 25, 29
2, 1688, Note_on_c, 0, 37, 30
2, 1689, Note_on_c, 0, 56, 30
2, 1689, Note_on_c, 0, 53, 29
2, 1690, Note_on_c, 0, 60, 39
2, 1744, Control_c, 0, 64, 127
2, 1847, Note_on_c, 0, 53, 0
2, 1853, Note_on_c, 0, 60, 0
2, 1855, Note_on_c, 0, 56, 0
2, 1859, Note_on_c, 0, 63, 0
2, 1863, Note_on_c, 0, 25, 0
2, 1864, Note_on_c, 0, 37, 0
2, 2004, Note_on_c, 0, 75, 62
2, 2005, Note_on_c, 0, 68, 64
2, 2006, Note_on_c, 0, 72, 56
2, 2007, Note_on_c, 0, 65, 68
2, 2007, Note_on_c, 0, 60, 54
2, 2026, Control_c, 0, 64, 0
2, 2056, Control_c, 0, 64, 127
2, 2121, Note_on_c, 0, 72, 0
2, 2130, Note_on_c, 0, 65, 0
2, 2131, Note_on_c, 0, 68, 0
2, 2133, Note_on_c, 0, 75, 0
2, 2164, Control_c, 0, 64, 0
2, 2166, Note_on_c, 0, 74, 57
2, 2166, Note_on_c, 0, 68, 35
2, 2167, Note_on_c, 0, 60, 0
2, 2167, Note_on_c, 0, 65, 48
2, 2168, Note_on_c, 0, 71, 34
2, 2169, Note_on_c, 0, 59, 37
2, 2182, Note_on_c, 0, 59, 0
2, 2182, Note_on_c, 0, 71, 0
2, 2183, Note_on_c, 0, 65, 0
2, 2184, Note_on_c, 0, 74, 0
2, 2192, Note_on_c, 0, 68, 0
2, 2269, Control_c, 0, 64, 127
2, 2273, Control_c, 0, 64, 0
2, 2283, Note_on_c, 0, 73, 37
2, 2284, Note_on_c, 0, 58, 40
2, 2285, Note_on_c, 0, 68, 39
2, 2287, Note_on_c, 0, 65, 36
2, 2300, Note_on_c, 0, 65, 0
2, 2304, Note_on_c, 0, 58, 0
2, 2311, Note_on_c, 0, 68, 0
2, 2312, Note_on_c, 0, 73, 0
2, 2347, Control_c, 0, 64, 127
2, 2398, Control_c, 0, 64, 0
2, 2404, Note_on_c, 0, 72, 32
2, 2404, Note_on_c, 0, 57, 38
2, 2404, Note_on_c, 0, 63, 30
2, 2405, Note_on_c, 0, 66, 45
2, 2406, Note_on_c, 0, 69, 36
2, 2426, Note_on_c, 0, 66, 0
2, 2429, Note_on_c, 0, 57, 0
2, 2433, Note_on_c, 0, 72, 0
2, 2433, Note_on_c, 0, 63, 0
2, 2440, Note_on_c, 0, 69, 0
2, 2465, Control_c, 0, 64, 127
2, 2519, Control_c, 0, 64, 0
2, 2525, Note_on_c, 0, 73, 46
2, 2526, Note_on_c, 0, 58, 38
2, 2530, Note_on_c, 0, 68, 44
2, 2531, Note_on_c, 0, 65, 45
2, 2549, Control_c, 0, 64, 127
2, 2552, Note_on_c, 0, 65, 0
2, 2559, Note_on_c, 0, 68, 0
2, 2561, Note_on_c, 0, 58, 0
2, 2562, Control_c, 0, 64, 0
2, 2564, Note_on_c, 0, 73, 0
2, 2654, Note_on_c, 0, 77, 69
2, 2655, Note_on_c, 0, 72, 58
2, 2656, Note_on_c, 0, 61, 56
2, 2656, Note_on_c, 0, 65, 69
2, 2667, Control_c, 0, 64, 127
2, 2689, Note_on_c, 0, 65, 0
2, 2697, Note_on_c, 0, 72, 0
2, 2700, Note_on_c, 0, 77, 0
2, 2722, Note_on_c, 0, 61, 0
2, 2771, Note_on_c, 0, 80, 53
2, 2772, Note_on_c, 0, 75, 50
2, 2773, Note_on_c, 0, 68, 34
2, 2782, Note_on_c, 0, 68, 0
2, 2789, Note_on_c, 0, 75, 0
2, 2792, Note_on_c, 0, 80, 0
2, 2883, Note_on_c, 0, 40, 13
2, 2884, Control_c, 0, 64, 0
2, 2888, Note_on_c, 0, 47, 24
2, 2891, Note_on_c, 0, 74, 60
2, 2891, Note_on_c, 0, 81, 62
2, 2893, Note_on_c, 0, 69, 39
2, 2906, Note_on_c, 0, 81, 0
2, 2906, Control_c, 0, 64, 127
2, 2910, Note_on_c, 0, 74, 0
2, 2916, Note_on_c, 0, 69, 0
2, 2934, Note_on_c, 0, 47, 0
2, 2967, Note_on_c, 0, 59, 31
2, 2968, Note_on_c, 0, 47, 36
2, 2999, Note_on_c, 0, 59, 0
