0, 0, Header, 1, 4, 960
1, 0, Start_track
1, 0, Title_t, "Cinema Paradiso"
1, 0, Text_t, "Video and leadsheet is at  http://web.newsguy.com/dougmck/\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Improvised versions of 'Cinema Paradiso'"
1, 3840, Marker_t, "First solo piano, then with bass and drums"
1, 8001, Marker_t, "Video of this at http://web.newsguy.com/dougmck/"
1, 16354, Marker_t, "Piano  begins at 10;07"
1, 24063, Marker_t, "Rubato at first"
1, 61652, Marker_t, "Dim scale on C#dim chord"
1, 130560, Key_signature, -3, "major"
1, 133459, Tempo, 600000
1, 133461, Tempo, 983607
1, 137356, Marker_t, "'Trio' begins"
1, 150625, Marker_t, "Chromatic connection between chord (EbMaj7) tones -  Bb and G"
1, 170458, Marker_t, "'Rhapsodic' style - RH octaves with chord tones = LH rootless voicings"
1, 177753, Marker_t, "Phrase is chord tones 'surrounded by neighbours"
1, 234778, Marker_t, "This figure based on Dim scale phrase moving down by aminor 3rd"
1, 257593, Marker_t, "'Locked hands' style - block chords harmonise melodic phrase"
1, 259636, Marker_t, "'Close' position with LH doubling melody  8va lower"
1, 266225, Marker_t, "More 'locked hands' - this time harmonises diminished scale line"
1, 266225, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 16582, Note_on_c, 0, 70, 81
2, 16618, Note_on_c, 0, 43, 57
2, 16654, Control_c, 0, 64, 0
2, 17051, Control_c, 0, 64, 127
2, 17443, Note_on_c, 0, 50, 51
2, 18269, Note_on_c, 0, 55, 30
2, 19114, Note_on_c, 0, 43, 0
2, 19355, Note_on_c, 0, 50, 0
2, 19530, Note_on_c, 0, 62, 81
2, 20016, Note_on_c, 0, 70, 0
2, 20456, Note_on_c, 0, 63, 72
2, 20470, Note_on_c, 0, 62, 0
2, 20470, Note_on_c, 0, 55, 0
2, 20514, Note_on_c, 0, 48, 44
2, 20515, Control_c, 0, 64, 24
2, 20520, Control_c, 0, 64, 0
2, 20808, Control_c, 0, 64, 127
2, 21027, Note_on_c, 0, 63, 0
2, 21814, Note_on_c, 0, 82, 81
2, 21821, Note_on_c, 0, 55, 41
2, 21867, Note_on_c, 0, 79, 81
2, 21904, Note_on_c, 0, 75, 76
2, 21907, Note_on_c, 0, 58, 57
2, 21914, Note_on_c, 0, 70, 79
2, 22357, Note_on_c, 0, 79, 0
2, 22514, Note_on_c, 0, 82, 0
2, 22635, Note_on_c, 0, 55, 0
2, 23210, Note_on_c, 0, 48, 0
2, 23248, Note_on_c, 0, 81, 90
2, 23262, Note_on_c, 0, 55, 50
2, 23302, Note_on_c, 0, 58, 0
2, 23371, Note_on_c, 0, 55, 0
2, 23667, Note_on_c, 0, 81, 0
2, 23726, Note_on_c, 0, 70, 0
2, 23733, Note_on_c, 0, 79, 75
2, 24230, Note_on_c, 0, 75, 0
2, 24242, Note_on_c, 0, 79, 0
2, 24243, Control_c, 0, 64, 0
2, 24269, Note_on_c, 0, 29, 57
2, 24302, Note_on_c, 0, 81, 82
2, 24365, Control_c, 0, 64, 127
2, 24438, Note_on_c, 0, 29, 0
2, 24586, Note_on_c, 0, 81, 0
2, 25211, Note_on_c, 0, 84, 89
2, 25232, Note_on_c, 0, 74, 81
2, 25238, Note_on_c, 0, 51, 59
2, 25243, Note_on_c, 0, 57, 57
2, 25541, Note_on_c, 0, 84, 0
2, 25606, Note_on_c, 0, 74, 0
2, 25674, Note_on_c, 0, 57, 0
2, 25678, Note_on_c, 0, 51, 0
2, 26202, Note_on_c, 0, 77, 65
2, 26227, Note_on_c, 0, 65, 38
2, 26243, Note_on_c, 0, 57, 48
2, 26253, Note_on_c, 0, 51, 49
2, 26773, Note_on_c, 0, 77, 0
2, 26920, Note_on_c, 0, 65, 0
2, 27008, Note_on_c, 0, 75, 72
2, 27050, Note_on_c, 0, 57, 0
2, 27234, Note_on_c, 0, 75, 0
2, 27728, Note_on_c, 0, 51, 0
2, 27949, Control_c, 0, 64, 0
2, 27960, Note_on_c, 0, 75, 58
2, 27974, Note_on_c, 0, 63, 43
2, 28018, Note_on_c, 0, 67, 45
2, 28024, Note_on_c, 0, 46, 34
2, 28093, Note_on_c, 0, 53, 36
2, 28256, Control_c, 0, 64, 127
2, 28893, Note_on_c, 0, 58, 41
2, 28912, Note_on_c, 0, 67, 0
2, 29120, Note_on_c, 0, 75, 0
2, 29186, Note_on_c, 0, 63, 0
2, 29509, Note_on_c, 0, 58, 0
2, 29768, Note_on_c, 0, 62, 49
2, 29779, Note_on_c, 0, 74, 50
2, 29784, Note_on_c, 0, 58, 42
2, 29786, Note_on_c, 0, 70, 54
2, 30442, Note_on_c, 0, 46, 0
2, 31206, Note_on_c, 0, 58, 0
2, 31334, Note_on_c, 0, 53, 0
2, 31362, Note_on_c, 0, 57, 60
2, 32050, Note_on_c, 0, 57, 0
2, 32114, Note_on_c, 0, 74, 0
2, 32134, Note_on_c, 0, 58, 77
2, 32138, Note_on_c, 0, 70, 0
2, 32213, Note_on_c, 0, 62, 0
2, 32224, Control_c, 0, 64, 0
2, 32331, Control_c, 0, 64, 127
2, 32826, Note_on_c, 0, 62, 99
2, 33294, Note_on_c, 0, 62, 0
2, 33304, Note_on_c, 0, 58, 0
2, 33408, Note_on_c, 0, 65, 79
2, 33410, Note_on_c, 0, 58, 80
2, 33411, Control_c, 0, 64, 0
2, 33414, Note_on_c, 0, 62, 84
2, 33429, Note_on_c, 0, 57, 71
2, 33606, Control_c, 0, 64, 127
2, 33638, Note_on_c, 0, 65, 0
2, 33818, Note_on_c, 0, 58, 0
2, 33982, Note_on_c, 0, 62, 0
2, 34062, Note_on_c, 0, 69, 81
2, 34085, Note_on_c, 0, 55, 64
2, 34091, Note_on_c, 0, 68, 63
2, 34123, Note_on_c, 0, 57, 0
2, 34157, Note_on_c, 0, 55, 0
2, 34210, Note_on_c, 0, 68, 0
2, 34291, Note_on_c, 0, 69, 0
2, 34763, Note_on_c, 0, 72, 85
2, 34765, Control_c, 0, 64, 0
2, 34774, Note_on_c, 0, 65, 81
2, 34787, Note_on_c, 0, 62, 80
2, 34818, Note_on_c, 0, 43, 63
2, 35082, Control_c, 0, 64, 127
2, 35230, Note_on_c, 0, 72, 0
2, 35349, Note_on_c, 0, 62, 0
2, 35392, Note_on_c, 0, 50, 69
2, 35402, Note_on_c, 0, 70, 85
2, 35459, Note_on_c, 0, 62, 24
2, 35656, Note_on_c, 0, 62, 0
2, 35826, Note_on_c, 0, 65, 0
2, 35853, Note_on_c, 0, 70, 0
2, 35874, Note_on_c, 0, 43, 0
2, 35912, Note_on_c, 0, 50, 0
2, 35941, Note_on_c, 0, 65, 81
2, 35949, Note_on_c, 0, 55, 60
2, 35963, Note_on_c, 0, 62, 77
2, 35965, Note_on_c, 0, 69, 76
2, 36083, Note_on_c, 0, 55, 0
2, 36285, Note_on_c, 0, 69, 0
2, 36307, Note_on_c, 0, 62, 0
2, 36478, Note_on_c, 0, 70, 82
2, 36490, Note_on_c, 0, 62, 45
2, 36499, Note_on_c, 0, 58, 66
2, 36555, Note_on_c, 0, 62, 0
2, 36563, Note_on_c, 0, 65, 0
2, 36782, Note_on_c, 0, 70, 0
2, 37038, Control_c, 0, 64, 0
2, 37059, Note_on_c, 0, 74, 120
2, 37069, Note_on_c, 0, 53, 70
2, 37075, Note_on_c, 0, 58, 0
2, 37130, Note_on_c, 0, 73, 51
2, 37186, Note_on_c, 0, 73, 0
2, 37331, Control_c, 0, 64, 127
2, 37712, Note_on_c, 0, 62, 60
2, 38394, Note_on_c, 0, 65, 62
2, 38410, Note_on_c, 0, 58, 52
2, 38413, Note_on_c, 0, 62, 0
2, 38530, Note_on_c, 0, 58, 0
2, 38554, Note_on_c, 0, 53, 0
2, 38598, Note_on_c, 0, 65, 0
2, 38621, Note_on_c, 0, 74, 0
2, 39264, Control_c, 0, 64, 0
2, 39312, Note_on_c, 0, 66, 63
2, 39315, Note_on_c, 0, 38, 45
2, 39317, Note_on_c, 0, 61, 61
2, 39320, Note_on_c, 0, 54, 60
2, 39320, Note_on_c, 0, 26, 55
2, 39530, Control_c, 0, 64, 127
2, 39736, Note_on_c, 0, 26, 0
2, 39846, Note_on_c, 0, 38, 0
2, 39885, Note_on_c, 0, 54, 0
2, 39960, Note_on_c, 0, 66, 0
2, 39995, Note_on_c, 0, 61, 0
2, 40370, Control_c, 0, 64, 0
2, 40382, Note_on_c, 0, 67, 61
2, 40398, Note_on_c, 0, 55, 52
2, 40416, Note_on_c, 0, 62, 52
2, 40443, Note_on_c, 0, 27, 40
2, 40450, Note_on_c, 0, 39, 36
2, 40642, Control_c, 0, 64, 127
2, 40771, Note_on_c, 0, 67, 0
2, 40834, Note_on_c, 0, 55, 0
2, 40882, Note_on_c, 0, 62, 0
2, 40917, Note_on_c, 0, 39, 0
2, 40968, Note_on_c, 0, 27, 0
2, 41090, Control_c, 0, 64, 0
2, 41157, Note_on_c, 0, 66, 59
2, 41182, Note_on_c, 0, 26, 51
2, 41186, Note_on_c, 0, 61, 57
2, 41190, Note_on_c, 0, 54, 49
2, 41195, Note_on_c, 0, 38, 46
