0, 0, Header, 1, 3, 960
1, 0, Start_track
1, 0, Title_t, "Things Ain't what they used to be"
1, 0, Copyright_t, "Copyright © 2005 by Doug McKenzie"
1, 0, Text_t, "Ellington - (verse by K Jarret)"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 800000
1, 934, Marker_t, "Verse added by Keith Jarrett - there are also words by singer Carol Welsman "
1, 88320, Marker_t, "Start of 12 bar blues chorus theme"
1, 132935, Marker_t, "This blues phrase uses the'other' blues scale' -(D), F,G,Ab.A,C,D -  "
1, 142080, Marker_t, "Another typical bluesey phrase - the notes of a 2nd inversion F triad"
1, 148055, Marker_t, "Easy to finger run on F9 - G(5),Eb(3),C(2),A(1),Ab(3),G(1),Gb(3),F(1)"
1, 157440, Marker_t, "Basically inversions of an F triad played with upper diatonic neighbour"
1, 165366, Marker_t, "Phrase is Gm triad with surround tones on each note"
1, 170122, Marker_t, "Oscar Petersonesque blues phrase"
1, 199680, Marker_t, "On B dim - a voicing is moved around  - LH plays single notes  between chords"
1, 205360, Marker_t, "Chords played in 2 against 3 (2 chords played in triplet rhythm)"
1, 218956, Marker_t, "Typical bluse phrase on turnaround"
1, 246491, Marker_t, "Another 2 against 3 passage"
1, 284886, Marker_t, "Tritone substitution for F7 - i.e. a B7 chord - to approach the Bb7"
1, 292011, Marker_t, "Downwards arpeggio of diminished chord"
1, 295680, Marker_t, "More downward arpeggios of chords"
1, 303531, Marker_t, "On Gm7 chord - basically chord tones surrounded "
1, 307920, Marker_t, "On C7 - a diminished Half/whole scale RH and LH a minor 3rd apart"
1, 309415, Marker_t, "Must finish on a chord tone "
1, 317994, Marker_t, "Disjointed sort of LH/RH kind of playing !!"
1, 328167, Marker_t, "F chords preceded by upper neighbor chord"
1, 334768, Marker_t, "On Bb7, each note of Bb triad embellished with a turn"
1, 334768, End_track
2, 0, Start_track
2, 0, Title_t, "Track 1"
2, 0, Control_c, 0, 7, 101
2, 0, Control_c, 0, 10, 64
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Track 2"
3, 1296, Control_c, 0, 64, 127
3, 1337, Control_c, 0, 64, 0
3, 1404, Control_c, 0, 64, 127
3, 1430, Control_c, 0, 64, 0
3, 2160, Note_on_c, 0, 65, 68
3, 2162, Note_on_c, 0, 41, 64
3, 2173, Note_on_c, 0, 57, 84
3, 2469, Note_on_c, 0, 57, 0
3, 2475, Note_on_c, 0, 58, 67
3, 2480, Note_on_c, 0, 42, 55
3, 2505, Note_on_c, 0, 41, 0
3, 2786, Note_on_c, 0, 58, 0
3, 2816, Note_on_c, 0, 59, 54
3, 2818, Note_on_c, 0, 43, 37
3, 2819, Note_on_c, 0, 42, 0
3, 3108, Note_on_c, 0, 60, 56
3, 3117, Note_on_c, 0, 44, 51
3, 3130, Note_on_c, 0, 43, 0
3, 3166, Note_on_c, 0, 59, 0
3, 3365, Note_on_c, 0, 60, 0
3, 3406, Note_on_c, 0, 65, 0
3, 3415, Control_c, 0, 64, 127
3, 3426, Note_on_c, 0, 45, 55
3, 3429, Note_on_c, 0, 61, 57
3, 3433, Note_on_c, 0, 44, 0
3, 3671, Note_on_c, 0, 61, 0
3, 3716, Control_c, 0, 64, 0
3, 3784, Note_on_c, 0, 62, 54
3, 3786, Note_on_c, 0, 58, 47
3, 3790, Note_on_c, 0, 46, 50
3, 3855, Note_on_c, 0, 45, 0
3, 3862, Note_on_c, 0, 58, 0
3, 3876, Note_on_c, 0, 62, 0
3, 3888, Note_on_c, 0, 46, 0
3, 4083, Control_c, 0, 64, 127
3, 4362, Note_on_c, 0, 65, 64
