0, 0, Header, 1, 4, 120
1, 0, Start_track
1, 0, Title_t, "Easy Does It"
1, 0, Text_t, "Oliver/Young\012"
1, 0, Text_t, "'Easy Does It' - I think it was played originally by the Basie band. It is 24 bars long (8+8+8) - and the chords are all basically I iv ii V  in 2 keys (C then F then C again) and the challenge is to create variety by finding lots of ways around this wit\012"
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 476190
1, 480, Marker_t, "Walking bass on I.vi,ii,V - chord roots preceded by chromatic neighbour(s)"
1, 720, Marker_t, "Give each note its full value - one bass note is always  sounding"
1, 960, Marker_t, "Note that pedal is NOT used over this walking bass line"
1, 1138, Marker_t, "Often chromatic neighbour tones are on the 'a' of a triplet - a one, a two etc - and accented"
1, 2625, Marker_t, "On a good piano go right down low - even to this bottom A"
1, 2996, Marker_t, "Finish with 2 handed  chord blocks -  LH plays rootless voicing, RH plays octaves with 5th"
1, 4328, Marker_t, "Kind of simple stride style in LH"
1, 4669, Marker_t, "Notice that Pedal is used judiciously over stride LH  often 4 times per bar"
1, 6892, Marker_t, "LH and RH in unison 2 octaves apart for this Oscar Petersonish lick"
1, 12000, Marker_t, "Bass and Drums (brushes) in - First chorus play head"
1, 12315, Marker_t, "Little or no use of pedal - the drums and bass fill in the gaps when piano not playing"
1, 22604, Marker_t, "Oscar Peterson cliche - LH plays Dominant (G) on turn around"
1, 23520, Marker_t, "Drums to sticks - Improvised choruses begin - lots of Blues scale licks used"
1, 26897, Marker_t, "Modulating to F - using C half/whole dim scale on C7 chord"
1, 27360, Marker_t, "Descending F blues scale figure - note the use of 2 notes to accent"
1, 32420, Marker_t, "Tremolo continues as chords change under it"
1, 44856, Marker_t, "Common Blues phrase - repeated over different harmonies"
1, 46687, Marker_t, "Another cliche blues phrase"
1, 49924, Marker_t, "Another dim (half/whole) scale over C7 to modulate"
1, 54991, Marker_t, "Short Blues phrase is repeated but displaced on different beat"
1, 58080, Marker_t, "Head repeats - brushes return"
1, 65445, Marker_t, "RH white note glissando on G7"
1, 65445, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 493, Note_on_c, 0, 60, 87
2, 493, Note_on_c, 0, 48, 47
2, 575, Note_on_c, 0, 60, 0
2, 576, Note_on_c, 0, 55, 33
2, 578, Note_on_c, 0, 48, 0
2, 582, Note_on_c, 0, 44, 23
2, 595, Note_on_c, 0, 55, 0
2, 608, Note_on_c, 0, 44, 0
2, 610, Note_on_c, 0, 47, 34
2, 611, Note_on_c, 0, 59, 60
2, 682, Note_on_c, 0, 59, 0
2, 685, Note_on_c, 0, 44, 32
2, 687, Note_on_c, 0, 62, 60
2, 689, Note_on_c, 0, 47, 0
2, 710, Note_on_c, 0, 62, 0
2, 716, Note_on_c, 0, 44, 0
2, 722, Note_on_c, 0, 45, 52
2, 723, Note_on_c, 0, 60, 64
2, 791, Note_on_c, 0, 45, 0
2, 798, Note_on_c, 0, 37, 45
2, 825, Note_on_c, 0, 37, 0
2, 837, Note_on_c, 0, 39, 40
2, 920, Note_on_c, 0, 37, 30
2, 929, Note_on_c, 0, 39, 0
2, 944, Note_on_c, 0, 37, 0
2, 954, Note_on_c, 0, 38, 39
